Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Average Cadence","Active Energy","Total Energy","Elevation Ascended","Elevation Descended",Weather Temperature,Weather Humidity
"Outdoor Walking","2022-03-28 16:48","2022-03-28 17:23","0:35:52","2.909417807289283","118.45801526717557","138","0:12:19","4.865601905341158","214.72344230758628","137.36600000000024","206.63200000000018","36.59",,"18.999999496671933","31"
"Yoga","2022-03-28 06:39","2022-03-28 07:07","0:28:33",,"102.46546546546547","143",,,,"126.68900000000009","172.29000000000005",,,"5.9999998410543185","91"
"Yoga","2022-03-27 21:25","2022-03-27 21:55","0:30:20",,"106.64437689969606","139",,,,"130.13400000000001","189.79399999999998",,,"11.99999968210858","68"
"Outdoor Walking","2022-03-27 09:59","2022-03-27 11:11","1:12:11","5.433244049727102","112.021712907117","136","0:13:17","4.5158391863635305","216.38646484570558","256.40900000000136","380.43500000000574","55.15",,"9.999999735090512","61"
"Core Training","2022-03-27 09:01","2022-03-27 09:09","0:08:13",,"88.87","112",,,,"18.613999999999987","49.06899999999997",,,"7.999999788072387","69"
"Yoga","2022-03-26 19:36","2022-03-26 20:20","0:43:46",,"83.970703125","123",,,,"131.41700000000012","211.0680000000001",,,,
"Outdoor Walking","2022-03-26 12:12","2022-03-26 12:41","0:29:28","2.3328735607183773","101.2879746835443","127","0:12:37","4.74940692421233","204.30613763943506","95.92800000000027","157.99000000000024","21.94",,"13.999999629126705","43"
"Yoga","2022-03-25 22:14","2022-03-25 23:15","1:00:59",,"93.5718270571827","142",,,,"228.02600000000038","315.88700000000296",,,,
"Outdoor Walking","2022-03-25 18:07","2022-03-25 18:42","0:31:58","2.4386892382029908","129.47058823529412","149","0:13:06","4.575572232171568","213.3119299691497","107.96099999999997","176.1599999999999","35.4",,"14.99999960263574","36"
"Outdoor Walking","2022-03-24 18:53","2022-03-24 19:27","0:34:11","2.680637541234377","125.60472972972973","137","0:12:45","4.703194897792026","219.59475102671234","128.62599999999998","196.88199999999995","15.07",,,
"Indoor Cycling","2022-03-23 19:50","2022-03-23 20:18","0:27:23",,"113.6829268292683","125",,,,"162.70700000000005","218.98000000000002",,,"12.999999655617671","70"
"Outdoor Walking","2022-03-22 13:18","2022-03-22 13:35","0:16:45","1.1573294035774888","107.71641791044776","123","0:14:28","4.144873342360678","188.25277264158012","44.694999999999936","69.15399999999991","2.57",,"8.999999761581478","77"
"Outdoor Walking","2022-03-22 12:09","2022-03-22 12:37","0:27:44","1.8727914243052945","100.19344262295083","120","0:14:48","4.050635326330172","207.62644723403673","84.38600000000008","143.60400000000004","6.09",,"8.999999761581478","76"
"Yoga","2022-03-22 07:35","2022-03-22 07:53","0:17:50",,"96.22966507177034","124",,,,"73.458","118.65599999999995",,,"4.999999867545284","89"
"Indoor Cycling","2022-03-21 17:03","2022-03-21 17:52","0:38:37",,"143.06239168110918","167",,,,"322.81700000000063","409.7720000000006",,,"6.999999814563353","76"
"Yoga","2022-03-21 06:47","2022-03-21 07:17","0:30:08",,"110.43023255813954","160",,,,"141.59900000000005","204.878",,,"2.9999999205271592","79"
"Outdoor Walking","2022-03-20 16:37","2022-03-20 17:04","0:27:34","2.248020497771911","109.45370370370371","123","0:12:16","4.890221003382385","214.53607486119256","92.73300000000012","151.08700000000005","16.42",,"8.999999761581478","32"
"Indoor Cycling","2022-03-20 14:11","2022-03-20 14:51","0:40:33",,"126.93415637860082","138",,,,"274.4730000000005","350.51000000000045",,,"7.999999788072387","36"
"Outdoor Walking","2022-03-20 09:56","2022-03-20 10:33","0:34:17","2.4473175861680647","117.68120805369128","139","0:14:00","4.28137851314601","189.45819026129098","120.71400000000031","184.46100000000027","33.01",,"1.9999999470181251","59"
"Functional Strength Training","2022-03-20 07:55","2022-03-20 08:25","0:29:48",,"158.0028818443804","179",,,,"211.62099999999978","275.25399999999973",,,"-0.9999999735090341","77"
"Indoor Cycling","2022-03-19 13:03","2022-03-19 14:07","1:01:29",,"121.0796812749004","136",,,,"387.21899999999874","486.48500000000183",,,"8.999999761581478","65"
"Outdoor Walking","2022-03-19 11:20","2022-03-19 11:55","0:34:46","2.6562293960882815","108.4921052631579","138","0:13:05","4.582874656358103","194.84168451322492","123.74900000000034","193.9200000000003","17.19",,"6.999999814563353","79"
"Outdoor Walking","2022-03-18 11:18","2022-03-18 11:52","0:34:17","2.6161736821959494","122.70103092783505","144","0:13:06","4.578591825734533","194.05061703810358","121.84799999999994","190.8169999999999","17.1",,"8.999999761581478","70"
"Cardio Dance","2022-03-18 10:12","2022-03-18 10:28","0:15:57",,"164.2206896551724","180",,,,"132.6899999999998","174.38499999999976",,,"6.999999814563353","78"
"Outdoor Walking","2022-03-17 16:49","2022-03-17 17:22","0:32:49","2.64623730004183","103.39549839228296","123","0:12:24","4.837472916259385","209.84541977660965","105.4260000000002","169.86500000000015","14.66",,"11.99999968210858","41"
"Yoga","2022-03-17 07:26","2022-03-17 08:01","0:34:20",,"92.65679012345679","156",,,,"126.97000000000011","196.61800000000005",,,"-0.9999999735090341","90"
"Indoor Cycling","2022-03-15 21:58","2022-03-15 22:20","0:22:40",,"151.55350553505534","164",,,,"205.06099999999986","257.09299999999985",,,"5.9999998410543185","56"
"Outdoor Walking","2022-03-15 12:03","2022-03-15 12:36","0:32:20","2.3056745014744813","114.26256983240224","124","0:14:01","4.277358868689686","205.57512248056287","94.40599999999972","160.46299999999968","11.68",,"9.999999735090512","76"
"Cardio Dance","2022-03-14 07:04","2022-03-14 07:17","0:12:47",,"167.64166666666668","192",,,,"106.70100000000016","147.71300000000014",,,"4.999999867545284","79"
"Outdoor Walking","2022-03-10 12:24","2022-03-10 13:04","0:40:23","2.5800549431011315","108.21491228070175","151","0:15:39","3.8319330606470396","168.07987224320948","106.97500000000002","212.762","30.86",,"11.99999968210858","64"
